def_level,combo,avg_damage,max_damage,top10_threshold_p90,top10_avg_damage
0,Scythe + Scythe + Scythe,134.6630,214,173,185.2200
1,Scythe + Scythe + Scythe,134.9970,218,171,183.7400
2,Scythe + Scythe + Scythe,135.1020,224,174,187.5800
3,Scythe + Scythe + Scythe,132.6970,233,169,181.2500
4,Scythe + Scythe + Scythe,132.1520,215,167,180.8400
5,Scythe + Scythe + Scythe,133.6780,235,172,187.3600
6,Scythe + Scythe + Scythe,133.0430,220,171,184.4900
7,Scythe + Scythe + Scythe,132.9820,205,172,184.5000
8,Scythe + Scythe + Scythe,132.8690,212,170,182.8800
9,Scythe + Scythe + Scythe,132.3130,212,172,182.1700
10,Scythe + Scythe + Scythe,131.4140,221,169,182.1400
11,Scythe + Scythe + Scythe,133.8890,226,171,184.0500
12,Scythe + Scythe + Scythe,133.2560,217,173,185.9400
13,Scythe + Scythe + Scythe,132.2690,219,170,183.5000
14,Scythe + Scythe + Scythe,133.0560,226,171,184.9300
15,Scythe + Scythe + Scythe,132.1920,207,168,180.2600
16,Scythe + Scythe + Scythe,132.3110,204,169,181.1000
17,Scythe + Scythe + Scythe,131.0390,224,169,180.7600
18,Scythe + Scythe + Scythe,131.7540,212,171,183.4100
19,Scythe + Scythe + Scythe,131.1810,217,167,182.6300
20,Scythe + Scythe + Scythe,129.9810,210,168,178.5000
21,Scythe + Scythe + Scythe,132.3980,225,171,185.1700
22,Scythe + Scythe + Scythe,132.4040,223,170,181.3200
23,Scythe + Scythe + Scythe,132.8150,227,170,183.2100
24,Scythe + Scythe + Scythe,130.4240,223,169,181.7800
25,Scythe + Scythe + Scythe,132.0900,220,167,179.6500
26,Scythe + Scythe + Scythe,130.2070,222,169,181.2700
27,Scythe + Scythe + Scythe,130.7730,213,169,179.9300
28,Scythe + Scythe + Scythe,132.3330,222,172,184.4800
29,Scythe + Scythe + Scythe,130.5020,232,168,182.6600
30,Scythe + Scythe + Scythe,132.1910,224,169,182.6900
31,Scythe + Scythe + Scythe,132.5580,222,172,185.8400
32,Scythe + Scythe + Scythe,129.9890,225,167,182.5700
33,Scythe + Scythe + Scythe,130.9980,210,171,182.2500
34,Scythe + Scythe + Scythe,130.3000,225,166,179.8100
35,Scythe + Scythe + Scythe,130.6540,220,167,180.6500
36,Scythe + Scythe + Scythe,130.1490,210,168,179.1000
37,Scythe + Scythe + Scythe,129.2220,212,169,182.3600
38,Scythe + Scythe + Scythe,130.9550,218,171,183.1700
39,Scythe + Scythe + Scythe,129.1660,221,168,182.9000
40,Scythe + Scythe + Scythe,129.4990,222,169,181.9900
41,Scythe + Scythe + Scythe,128.0750,209,167,179.8700
42,Scythe + Scythe + Scythe,130.4470,214,171,182.5700
43,Scythe + Scythe + Scythe,128.1890,222,167,178.8900
44,Scythe + Scythe + Scythe,127.1400,225,165,179.3900
45,Scythe + Scythe + Scythe,128.4610,229,168,182.0200
46,Scythe + Scythe + Scythe,129.2780,207,169,180.3900
47,Scythe + Scythe + Scythe,130.6040,215,168,182.0800
48,Scythe + Scythe + Scythe,128.8630,217,167,181.0700
49,Scythe + Scythe + Scythe,129.7490,212,167,181.9100
50,Scythe + Scythe + Scythe,128.6960,219,166,181.2200
51,Scythe + Scythe + Scythe,128.1430,219,169,181.5700
52,Scythe + Scythe + Scythe,128.3440,209,170,181.6700
53,Scythe + Scythe + Scythe,128.9240,218,167,180.9900
54,Scythe + Scythe + Scythe,130.3650,225,168,182.8700
55,Scythe + Scythe + Scythe,128.3540,219,168,179.3800
56,Scythe + Scythe + Scythe,128.3530,230,168,181.9900
57,Scythe + Scythe + Scythe,127.6350,232,166,178.0900
58,Scythe + Scythe + Scythe,127.1010,213,166,181.0600
59,Scythe + Scythe + Scythe,127.1570,225,165,177.5600
60,Scythe + Scythe + Scythe,125.8630,223,165,179.6300
61,Scythe + Scythe + Scythe,128.6060,209,169,181.7800
62,Scythe + Scythe + Scythe,125.6430,222,166,179.0000
63,Scythe + Scythe + Scythe,128.3130,224,167,181.0500
64,Scythe + Scythe + Scythe,126.8520,226,166,179.6600
65,Scythe + Scythe + Scythe,126.5180,217,165,180.1200
66,Scythe + Scythe + Scythe,125.6680,215,163,176.7800
67,Scythe + Scythe + Scythe,126.6620,229,164,179.3600
68,Scythe + Scythe + Scythe,127.1570,218,167,180.6500
69,Scythe + Scythe + Scythe,128.4370,223,169,182.3900
0,Chally Spec + Chally Spec + Chally Spec,201.2840,344,261,279.2200
1,Chally Spec + Chally Spec + Chally Spec,198.9060,335,260,278.9100
2,Chally Spec + Chally Spec + Chally Spec,200.0640,332,259,280.2900
3,Chally Spec + Chally Spec + Chally Spec,201.1620,345,262,282.4500
4,Chally Spec + Chally Spec + Chally Spec,198.7690,350,262,283.2900
5,Chally Spec + Chally Spec + Chally Spec,198.4440,346,263,284.3900
6,Chally Spec + Chally Spec + Chally Spec,198.9200,324,259,282.2000
7,Chally Spec + Chally Spec + Chally Spec,196.5970,342,256,275.3200
8,Chally Spec + Chally Spec + Chally Spec,196.8540,334,259,280.2900
9,Chally Spec + Chally Spec + Chally Spec,195.7130,336,261,282.1500
10,Chally Spec + Chally Spec + Chally Spec,197.9800,350,260,283.3700
11,Chally Spec + Chally Spec + Chally Spec,199.1130,337,259,278.5500
12,Chally Spec + Chally Spec + Chally Spec,196.2790,344,255,279.7000
13,Chally Spec + Chally Spec + Chally Spec,196.5190,334,259,281.0700
14,Chally Spec + Chally Spec + Chally Spec,196.5230,341,257,277.9300
15,Chally Spec + Chally Spec + Chally Spec,195.0790,352,259,281.6200
16,Chally Spec + Chally Spec + Chally Spec,195.5390,359,262,281.3700
17,Chally Spec + Chally Spec + Chally Spec,195.6010,357,256,277.1900
18,Chally Spec + Chally Spec + Chally Spec,197.2310,344,259,277.2100
19,Chally Spec + Chally Spec + Chally Spec,198.0540,343,258,279.1600
20,Chally Spec + Chally Spec + Chally Spec,195.3840,347,259,278.4700
21,Chally Spec + Chally Spec + Chally Spec,195.6830,349,258,278.8000
22,Chally Spec + Chally Spec + Chally Spec,195.4230,340,259,278.7000
23,Chally Spec + Chally Spec + Chally Spec,196.8250,329,262,283.1200
