def_level,combo,avg_damage,max_damage,top10_threshold_p90,top10_avg_damage
0,Scythe + Scythe + Scythe,134.5410,222,172,184.1800
1,Scythe + Scythe + Scythe,135.6340,237,174,189.0700
2,Scythe + Scythe + Scythe,135.9040,216,172,183.9100
3,Scythe + Scythe + Scythe,134.8370,215,172,185.6500
4,Scythe + Scythe + Scythe,133.3510,212,171,183.9100
5,Scythe + Scythe + Scythe,132.5000,215,172,186.4200
6,Scythe + Scythe + Scythe,134.6590,215,173,187.0900
7,Scythe + Scythe + Scythe,134.6900,219,171,185.9300
8,Scythe + Scythe + Scythe,134.0090,223,173,184.3200
9,Scythe + Scythe + Scythe,135.7200,221,173,185.9400
10,Scythe + Scythe + Scythe,134.1580,231,170,184.1100
11,Scythe + Scythe + Scythe,135.1240,219,174,185.2500
12,Scythe + Scythe + Scythe,132.5960,228,170,185.1200
13,Scythe + Scythe + Scythe,134.8180,224,173,186.0700
14,Scythe + Scythe + Scythe,132.4080,217,171,183.9600
15,Scythe + Scythe + Scythe,132.4460,219,170,182.7300
16,Scythe + Scythe + Scythe,133.4470,229,171,183.8400
17,Scythe + Scythe + Scythe,133.3230,213,172,186.0800
18,Scythe + Scythe + Scythe,133.2910,211,170,182.2000
19,Scythe + Scythe + Scythe,132.9020,217,172,184.0100
20,Scythe + Scythe + Scythe,132.4810,232,171,183.9000
21,Scythe + Scythe + Scythe,133.2930,222,170,183.3800
22,Scythe + Scythe + Scythe,132.9360,224,173,186.6900
23,Scythe + Scythe + Scythe,132.7650,215,170,185.0300
24,Scythe + Scythe + Scythe,131.6140,213,170,182.0000
25,Scythe + Scythe + Scythe,131.8870,218,170,183.6000
26,Scythe + Scythe + Scythe,132.5210,223,171,185.3700
27,Scythe + Scythe + Scythe,132.1430,216,170,183.6700
28,Scythe + Scythe + Scythe,132.8320,213,171,182.6300
29,Scythe + Scythe + Scythe,132.4500,232,170,182.4900
30,Scythe + Scythe + Scythe,131.5440,226,171,185.1500
31,Scythe + Scythe + Scythe,132.0830,229,172,184.3600
32,Scythe + Scythe + Scythe,133.2930,223,170,184.4900
33,Scythe + Scythe + Scythe,130.3360,222,173,184.1300
34,Scythe + Scythe + Scythe,133.5160,217,170,182.3200
35,Scythe + Scythe + Scythe,131.0360,227,169,183.7000
36,Scythe + Scythe + Scythe,131.9430,221,170,182.1800
37,Scythe + Scythe + Scythe,130.7220,228,169,182.2600
38,Scythe + Scythe + Scythe,129.4460,214,169,183.8600
39,Scythe + Scythe + Scythe,131.9120,220,171,185.7100
40,Scythe + Scythe + Scythe,130.1690,216,173,185.1100
41,Scythe + Scythe + Scythe,130.0660,216,172,185.7100
42,Scythe + Scythe + Scythe,131.1870,218,169,182.1200
43,Scythe + Scythe + Scythe,128.7480,223,168,180.5400
44,Scythe + Scythe + Scythe,129.9880,214,170,182.6800
45,Scythe + Scythe + Scythe,130.1110,217,172,182.8100
46,Scythe + Scythe + Scythe,129.7180,218,169,182.8100
47,Scythe + Scythe + Scythe,128.9730,221,167,180.5800
48,Scythe + Scythe + Scythe,128.3990,212,169,180.3900
49,Scythe + Scythe + Scythe,128.2030,218,167,181.7700
50,Scythe + Scythe + Scythe,129.8940,223,170,184.0900
51,Scythe + Scythe + Scythe,128.9530,230,169,182.9400
52,Scythe + Scythe + Scythe,126.7200,213,169,181.3300
53,Scythe + Scythe + Scythe,129.2170,209,170,181.1500
54,Scythe + Scythe + Scythe,128.0710,217,167,180.2500
55,Scythe + Scythe + Scythe,129.6620,220,170,183.4400
56,Scythe + Scythe + Scythe,127.9290,216,165,180.2700
57,Scythe + Scythe + Scythe,128.3320,217,171,184.7100
58,Scythe + Scythe + Scythe,128.4390,223,167,182.6800
59,Scythe + Scythe + Scythe,126.1130,216,163,177.6400
60,Scythe + Scythe + Scythe,126.4510,214,168,178.5600
61,Scythe + Scythe + Scythe,128.5710,216,168,180.7000
62,Scythe + Scythe + Scythe,128.5010,214,169,181.7600
63,Scythe + Scythe + Scythe,129.4340,214,167,180.2800
64,Scythe + Scythe + Scythe,126.4910,238,166,180.4600
65,Scythe + Scythe + Scythe,127.8570,222,167,180.6500
66,Scythe + Scythe + Scythe,127.4280,221,168,180.9600
67,Scythe + Scythe + Scythe,126.5270,218,167,181.1100
68,Scythe + Scythe + Scythe,127.5180,228,168,182.4800
69,Scythe + Scythe + Scythe,125.5960,224,165,178.8700
0,Chally Spec + Chally Spec + Chally Spec,204.3790,339,262,286.3900
1,Chally Spec + Chally Spec + Chally Spec,203.6580,364,262,286.0900
2,Chally Spec + Chally Spec + Chally Spec,199.3000,338,260,281.9300
3,Chally Spec + Chally Spec + Chally Spec,202.8950,357,263,287.5900
4,Chally Spec + Chally Spec + Chally Spec,202.7700,328,265,284.0800
5,Chally Spec + Chally Spec + Chally Spec,202.1180,333,262,282.3000
6,Chally Spec + Chally Spec + Chally Spec,201.4200,345,266,287.8100
7,Chally Spec + Chally Spec + Chally Spec,200.8520,340,262,281.7500
8,Chally Spec + Chally Spec + Chally Spec,202.3720,351,268,289.4300
9,Chally Spec + Chally Spec + Chally Spec,199.5140,355,262,284.0800
10,Chally Spec + Chally Spec + Chally Spec,198.8640,362,260,282.4100
11,Chally Spec + Chally Spec + Chally Spec,198.9560,363,263,285.9000
12,Chally Spec + Chally Spec + Chally Spec,201.0930,335,261,285.2100
13,Chally Spec + Chally Spec + Chally Spec,198.4070,346,263,283.5600
14,Chally Spec + Chally Spec + Chally Spec,199.7270,333,264,284.3000
15,Chally Spec + Chally Spec + Chally Spec,201.7970,340,268,285.4500
16,Chally Spec + Chally Spec + Chally Spec,197.2910,350,258,280.5400
17,Chally Spec + Chally Spec + Chally Spec,200.6140,346,262,288.3400
18,Chally Spec + Chally Spec + Chally Spec,198.6390,349,259,283.1300
19,Chally Spec + Chally Spec + Chally Spec,196.4090,343,260,279.3400
20,Chally Spec + Chally Spec + Chally Spec,197.5840,345,263,282.4900
21,Chally Spec + Chally Spec + Chally Spec,197.9040,369,261,283.7100
22,Chally Spec + Chally Spec + Chally Spec,196.2590,355,259,282.0000
23,Chally Spec + Chally Spec + Chally Spec,199.4910,346,261,284.7000
24,Chally Spec + Chally Spec + Chally Spec,196.9350,368,259,280.4500
25,Chally Spec + Chally Spec + Chally Spec,201.5150,340,263,286.1900
26,Chally Spec + Chally Spec + Chally Spec,200.2440,343,264,285.2900
27,Chally Spec + Chally Spec + Chally Spec,196.3520,348,260,283.6500
28,Chally Spec + Chally Spec + Chally Spec,194.3780,342,261,281.7800
29,Chally Spec + Chally Spec + Chally Spec,196.5560,346,258,277.5400
30,Chally Spec + Chally Spec + Chally Spec,196.5440,349,262,284.0900
31,Chally Spec + Chally Spec + Chally Spec,194.5520,337,258,280.2400
32,Chally Spec + Chally Spec + Chally Spec,197.6210,336,261,281.3500
33,Chally Spec + Chally Spec + Chally Spec,195.0260,357,262,283.2100
34,Chally Spec + Chally Spec + Chally Spec,194.1070,325,253,277.6500
35,Chally Spec + Chally Spec + Chally Spec,196.3010,331,261,281.3900
36,Chally Spec + Chally Spec + Chally Spec,196.5550,338,260,279.0000
37,Chally Spec + Chally Spec + Chally Spec,194.9730,335,258,280.3700
38,Chally Spec + Chally Spec + Chally Spec,194.8590,334,260,284.8700
39,Chally Spec + Chally Spec + Chally Spec,194.7820,342,260,283.3100
40,Chally Spec + Chally Spec + Chally Spec,197.3500,346,262,280.0800
41,Chally Spec + Chally Spec + Chally Spec,192.7970,346,257,278.4500
42,Chally Spec + Chally Spec + Chally Spec,195.5100,349,260,284.5500
43,Chally Spec + Chally Spec + Chally Spec,192.0900,341,261,282.8400
44,Chally Spec + Chally Spec + Chally Spec,196.3470,335,258,278.3000
45,Chally Spec + Chally Spec + Chally Spec,196.0820,338,258,281.6200
46,Chally Spec + Chally Spec + Chally Spec,195.2740,353,258,279.5900
47,Chally Spec + Chally Spec + Chally Spec,194.2180,331,260,276.9400
48,Chally Spec + Chally Spec + Chally Spec,194.1990,350,255,282.2000
49,Chally Spec + Chally Spec + Chally Spec,192.3680,342,257,281.4600
50,Chally Spec + Chally Spec + Chally Spec,191.5490,340,255,279.0200
