def_level,combo,avg_damage,max_damage,top10_threshold_p90,top10_avg_damage
0,Scythe + Scythe + Scythe,135.0190,211,171,183.0200
1,Scythe + Scythe + Scythe,133.9080,219,171,185.0100
2,Scythe + Scythe + Scythe,134.0470,221,171,184.7300
3,Scythe + Scythe + Scythe,133.2830,220,169,183.3200
4,Scythe + Scythe + Scythe,133.3520,216,169,184.4800
5,Scythe + Scythe + Scythe,133.0090,231,172,185.4700
6,Scythe + Scythe + Scythe,133.4110,218,170,182.9300
7,Scythe + Scythe + Scythe,134.2760,218,169,182.3700
8,Scythe + Scythe + Scythe,131.4480,216,171,182.4200
9,Scythe + Scythe + Scythe,133.5600,239,170,184.8900
10,Scythe + Scythe + Scythe,133.9230,210,171,183.7100
11,Scythe + Scythe + Scythe,130.7530,205,168,180.7400
12,Scythe + Scythe + Scythe,132.1370,213,169,182.1000
13,Scythe + Scythe + Scythe,133.5670,213,172,183.7700
14,Scythe + Scythe + Scythe,131.7470,217,169,181.0200
15,Scythe + Scythe + Scythe,131.0060,212,169,180.8700
16,Scythe + Scythe + Scythe,132.7750,212,170,183.0400
17,Scythe + Scythe + Scythe,132.6080,223,173,185.6100
18,Scythe + Scythe + Scythe,133.8450,221,171,183.7700
19,Scythe + Scythe + Scythe,132.3100,209,171,182.7100
20,Scythe + Scythe + Scythe,129.9570,214,166,180.2400
21,Scythe + Scythe + Scythe,131.0960,213,170,182.7400
22,Scythe + Scythe + Scythe,131.9260,218,170,182.3900
23,Scythe + Scythe + Scythe,131.4920,218,170,183.8800
24,Scythe + Scythe + Scythe,132.3440,226,169,183.2000
25,Scythe + Scythe + Scythe,131.5790,215,169,180.7700
26,Scythe + Scythe + Scythe,131.5490,232,170,184.0300
27,Scythe + Scythe + Scythe,129.3130,218,167,180.8500
28,Scythe + Scythe + Scythe,131.8450,222,168,182.2600
29,Scythe + Scythe + Scythe,130.2600,225,168,181.7700
30,Scythe + Scythe + Scythe,131.7010,222,170,183.1900
31,Scythe + Scythe + Scythe,129.3330,204,169,180.1900
32,Scythe + Scythe + Scythe,129.4750,205,168,180.2500
33,Scythe + Scythe + Scythe,131.6020,212,170,182.0500
34,Scythe + Scythe + Scythe,130.0440,228,169,180.7600
35,Scythe + Scythe + Scythe,130.8270,227,168,181.3300
36,Scythe + Scythe + Scythe,128.9480,212,166,179.2500
37,Scythe + Scythe + Scythe,129.7120,211,168,181.8600
38,Scythe + Scythe + Scythe,130.7750,221,168,182.0600
39,Scythe + Scythe + Scythe,130.0430,207,167,180.5600
40,Scythe + Scythe + Scythe,129.0080,214,166,178.6800
41,Scythe + Scythe + Scythe,128.8200,214,169,183.4100
42,Scythe + Scythe + Scythe,130.7580,216,169,181.5000
43,Scythe + Scythe + Scythe,130.3600,226,170,182.5800
44,Scythe + Scythe + Scythe,130.1170,220,168,181.0400
45,Scythe + Scythe + Scythe,129.9740,220,169,182.9500
46,Scythe + Scythe + Scythe,128.6570,204,166,178.7400
47,Scythe + Scythe + Scythe,130.4870,231,169,184.4100
48,Scythe + Scythe + Scythe,128.9330,211,166,179.4100
49,Scythe + Scythe + Scythe,129.7300,215,171,182.9500
50,Scythe + Scythe + Scythe,128.8160,229,171,183.2300
51,Scythe + Scythe + Scythe,126.9910,228,169,182.2600
52,Scythe + Scythe + Scythe,129.0090,218,168,180.9000
53,Scythe + Scythe + Scythe,128.8280,215,169,180.5900
54,Scythe + Scythe + Scythe,129.4490,210,168,180.5500
55,Scythe + Scythe + Scythe,127.7020,219,168,180.7900
56,Scythe + Scythe + Scythe,129.6820,232,171,184.1100
57,Scythe + Scythe + Scythe,127.0720,229,167,180.8400
58,Scythe + Scythe + Scythe,129.5880,212,168,181.2000
59,Scythe + Scythe + Scythe,127.8660,219,164,178.8500
60,Scythe + Scythe + Scythe,128.9920,219,168,182.1900
61,Scythe + Scythe + Scythe,127.1710,211,166,177.7400
62,Scythe + Scythe + Scythe,128.3990,218,170,181.6500
63,Scythe + Scythe + Scythe,127.5540,217,166,180.2500
64,Scythe + Scythe + Scythe,126.5570,215,166,179.8500
65,Scythe + Scythe + Scythe,127.7080,212,167,181.0200
66,Scythe + Scythe + Scythe,127.5600,222,165,178.7600
67,Scythe + Scythe + Scythe,125.7990,214,168,182.4600
68,Scythe + Scythe + Scythe,127.7310,209,165,180.0200
69,Scythe + Scythe + Scythe,126.7800,240,168,182.1300
0,Chally Spec + Chally Spec + Chally Spec,201.3650,353,264,286.7700
1,Chally Spec + Chally Spec + Chally Spec,200.6800,345,262,283.3400
2,Chally Spec + Chally Spec + Chally Spec,199.5870,346,261,284.1000
3,Chally Spec + Chally Spec + Chally Spec,200.8610,349,259,279.5200
4,Chally Spec + Chally Spec + Chally Spec,198.6990,351,260,281.0300
5,Chally Spec + Chally Spec + Chally Spec,198.8060,340,259,279.7700
6,Chally Spec + Chally Spec + Chally Spec,199.0540,346,258,280.7700
7,Chally Spec + Chally Spec + Chally Spec,199.6430,338,258,280.6300
8,Chally Spec + Chally Spec + Chally Spec,199.3730,323,263,282.7200
9,Chally Spec + Chally Spec + Chally Spec,200.6470,338,263,283.0000
10,Chally Spec + Chally Spec + Chally Spec,199.3680,334,260,280.1900
11,Chally Spec + Chally Spec + Chally Spec,195.3590,322,257,278.7000
12,Chally Spec + Chally Spec + Chally Spec,195.9920,346,259,280.5800
13,Chally Spec + Chally Spec + Chally Spec,196.1320,347,257,280.9100
14,Chally Spec + Chally Spec + Chally Spec,196.9520,346,258,280.1600
15,Chally Spec + Chally Spec + Chally Spec,196.9250,325,258,281.9500
16,Chally Spec + Chally Spec + Chally Spec,197.5610,334,257,276.4000
17,Chally Spec + Chally Spec + Chally Spec,196.5590,355,258,280.1100
18,Chally Spec + Chally Spec + Chally Spec,197.4640,347,260,281.0900
19,Chally Spec + Chally Spec + Chally Spec,196.1370,348,260,282.9100
20,Chally Spec + Chally Spec + Chally Spec,195.6610,330,259,280.3300
21,Chally Spec + Chally Spec + Chally Spec,196.3740,352,262,282.3000
22,Chally Spec + Chally Spec + Chally Spec,195.6610,339,254,276.9700
23,Chally Spec + Chally Spec + Chally Spec,197.2980,332,258,281.3300
24,Chally Spec + Chally Spec + Chally Spec,196.9790,340,260,280.7600
25,Chally Spec + Chally Spec + Chally Spec,194.4010,360,257,280.8100
26,Chally Spec + Chally Spec + Chally Spec,193.6540,345,258,275.9800
27,Chally Spec + Chally Spec + Chally Spec,192.9580,321,256,278.2200
28,Chally Spec + Chally Spec + Chally Spec,193.5060,337,254,274.0000
29,Chally Spec + Chally Spec + Chally Spec,193.7410,335,257,276.6200
30,Chally Spec + Chally Spec + Chally Spec,195.7620,327,256,276.8300
31,Chally Spec + Chally Spec + Chally Spec,194.4380,334,259,280.8300
32,Chally Spec + Chally Spec + Chally Spec,194.7630,322,256,278.7400
33,Chally Spec + Chally Spec + Chally Spec,193.4080,333,255,277.5100
34,Chally Spec + Chally Spec + Chally Spec,194.7200,350,259,279.2200
35,Chally Spec + Chally Spec + Chally Spec,192.6190,350,257,280.3000
36,Chally Spec + Chally Spec + Chally Spec,193.6350,350,256,278.1600
37,Chally Spec + Chally Spec + Chally Spec,193.4650,343,257,281.7000
38,Chally Spec + Chally Spec + Chally Spec,194.1670,334,256,275.4300
39,Chally Spec + Chally Spec + Chally Spec,192.1250,330,255,275.5200
40,Chally Spec + Chally Spec + Chally Spec,192.1510,357,257,278.5200
41,Chally Spec + Chally Spec + Chally Spec,192.1810,345,258,276.6300
42,Chally Spec + Chally Spec + Chally Spec,194.7890,331,254,274.1100
43,Chally Spec + Chally Spec + Chally Spec,193.1560,338,256,278.5400
44,Chally Spec + Chally Spec + Chally Spec,194.6650,341,257,282.2000
45,Chally Spec + Chally Spec + Chally Spec,189.2920,321,250,269.1300
46,Chally Spec + Chally Spec + Chally Spec,193.5810,334,261,278.7800
47,Chally Spec + Chally Spec + Chally Spec,194.7020,341,258,276.5600
48,Chally Spec + Chally Spec + Chally Spec,190.6140,338,257,277.3800
49,Chally Spec + Chally Spec + Chally Spec,193.8750,328,255,274.8200
50,Chally Spec + Chally Spec + Chally Spec,191.5250,334,254,276.5600
51,Chally Spec + Chally Spec + Chally Spec,188.8420,317,255,277.8800
52,Chally Spec + Chally Spec + Chally Spec,191.7700,337,253,276.0300
53,Chally Spec + Chally Spec + Chally Spec,190.1500,324,257,276.4400
54,Chally Spec + Chally Spec + Chally Spec,190.0890,329,252,272.8600
55,Chally Spec + Chally Spec + Chally Spec,188.1720,353,251,270.3400
56,Chally Spec + Chally Spec + Chally Spec,189.4980,347,254,276.4200
57,Chally Spec + Chally Spec + Chally Spec,190.7690,328,256,274.8800
58,Chally Spec + Chally Spec + Chally Spec,189.7480,351,252,275.3500
59,Chally Spec + Chally Spec + Chally Spec,191.3820,339,257,277.3200
60,Chally Spec + Chally Spec + Chally Spec,186.9880,330,252,270.0100
61,Chally Spec + Chally Spec + Chally Spec,189.6420,343,254,277.2200
62,Chally Spec + Chally Spec + Chally Spec,187.3050,327,249,268.7300
63,Chally Spec + Chally Spec + Chally Spec,188.9320,329,252,274.0500
64,Chally Spec + Chally Spec + Chally Spec,190.1010,352,257,277.0900
65,Chally Spec + Chally Spec + Chally Spec,189.5810,332,253,277.3300
66,Chally Spec + Chally Spec + Chally Spec,187.6350,349,249,274.0400
67,Chally Spec + Chally Spec + Chally Spec,191.1400,362,255,275.1900
68,Chally Spec + Chally Spec + Chally Spec,186.6410,323,251,272.6900
69,Chally Spec + Chally Spec + Chally Spec,186.0910,334,248,268.5800
0,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,197.5970,259,228,238.2200
1,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,197.5950,260,227,236.8600
2,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,196.4010,263,226,236.5400
3,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,196.8750,254,224,234.6600
4,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,198.4430,263,228,238.7300
5,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,196.9920,260,228,238.4100
6,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,198.1480,263,228,238.1500
7,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,198.3730,259,230,240.4200
8,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,197.9620,262,228,238.1900
9,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,197.0230,259,227,237.3600
10,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,196.0460,255,226,233.1700
11,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,196.4670,260,226,237.2600
12,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,196.8420,260,226,236.3200
13,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,197.7700,259,227,237.4700
14,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,195.8950,259,226,235.2400
15,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,198.3180,257,229,237.2800
16,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,196.7040,267,229,239.0800
17,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,196.4660,254,227,236.7800
18,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,194.9820,259,227,235.7600
19,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,197.3520,267,228,238.1000
20,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,196.1680,260,227,236.2800
21,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,195.6100,263,225,235.4300
22,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,196.8910,263,228,238.3500
23,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,196.6530,258,227,236.5700
24,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,197.1720,267,227,237.1500
25,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,196.7560,256,225,236.5500
26,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,196.6120,263,224,235.8300
27,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,196.7630,257,227,235.5700
28,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,196.3000,258,227,237.1800
29,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,196.8340,257,226,235.7900
30,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,196.9150,262,228,238.6200
31,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,196.2930,259,228,235.3300
32,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,197.3550,258,227,236.4800
33,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,197.1220,259,228,237.2500
34,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,195.8360,256,224,235.1600
35,Dragon Claws Spec + Dragon Claws Spec + Dragon Claws Spec,197.6740,259,229,237.3600
